NO,ABSTRAK,,,,,
65,"Rekam medis dalam dunia kedokteran merupakan hal yang sangat penting, data rekam medis bersifat pribadi dan wajib bagi pasien saat menjalani pelayanan kesehatan. Dalam peningkatan pelayanan kesehatan masih banyak permasalahan diantaranya sistem pencatatan rekam medis masih tradisional dan belum menggunakan basis data dalam penyimpanannya serta masih banyak keluhan kartu kunjungan hilang atau ketinggalan saat pasien ingin berobat. Pengembangan aplikasi ini bertujuan untuk mengelola data rekam medis pasien sehingga lebih efisien dan lebih aman. Maka dari itu, diperlukan pengembangan aplikasi rekam medis berbasis fingerprint dengan mengembangkan aplikasi rekam medis berbasis fingerprint berguna untuk mempermudah dalam pengolahan data rekam medis hingga sampai pada pembuatan laporan rekam medis. Aplikasi rekam medis berbasis fingerprint pasien mencakup pelolahan data rekam medis yang bersifat pribadi dan rahasia. Maka sistem ini diperlukan juga penerapan algoritma dalam mengamankan data rekam medis. Adapun algoritma yang digunakan untuk mengamankan data hasil diagnosis pasien yaitu dengan menggunakan algoritma AES 256. Setelah tahapan implementasi selesai diperoleh hasil, yaitu proses pengolahan data pasien lebih cepat, penyimpanan data lebih rapih, keamanan data lebih terjamin karena sudah dilengkapi dengan proses validasi user serta penerapan algoritma, dan dalam pembuatan laporan waktu yang dibutuhkan menjadi lebih singkat dibanding sebelumnya. Diharapkan aplikasi ini juga dapat membantu meberikan kinerja kegiatan pelayanan data rekam medis pasien yang lebih nyaman. Berdasarkan hasil pengujian diperoleh perbandingan antara sistem manual puskesmas dengan sistem aplikasi memperoleh hasil rata-rata yaitu 11 menit dengan menggunakan sistem aplikasi sedangankan dengan menggunakan sistem menual Puskesmas Socah yaitu 18 menit dengan selisih waktu 7 menit. Dapat disimpulkan bahwa aplikasi rekam medis pasien berbasis fingerprint adalah sangat efektif dalam proses pelayanan rekam medis pasien dibanding dengan sistem manual Puskesmas Socah dan menjadikan teknologi fingerprint sebagai pengganti kartu berobat pasien.",,,,,
66,"Permasalahan machine learning dan pattern recognition bukanlah hal yang baru. Hal ini dapat dilihat dari aplikasi yang digunakan masyarakat sekarang ini. Seiring dengan perkembangan teknologi komunikasi, semakin berkembang pula teknik dan algoritma yang digunakan untuk menyelesaikan permasalahan machine learning dan pattern recognition. Permasalahan yang paling umum adalah pengenalan obyek. Dalam hal ini adalah wajah. Pengenalan wajah ini di adopsi dari kemampuan manusia membedakan wajah antar satu orang dengan yang lain. Pada penelitian ini akan dibuat sistem pengenalan wajah. Pada proses awal akan dilakukan ekstraksi fitur menggunakan Kernel Principal Component Analysis (KPCA) untuk menentukan karakteristik dari wajah. Kemudian dilanjutkan dengan proses klasifikasi menggunakan Mahalanobis Distance. Hasil yang dicapai pada penelitian ini sesuai uji coba yang telah dilakukan pada basis data ORL adalah : 96,23%, pada basis data YALE adalah: 95,46%, dan pada basis data BERN adalah: 95,15%. Ketiganya berada pada acak 5 dengan masing-masing kombinasi data pelatihan pose ke 3,5,7,8,10 pada ORL, 3,5,7,8,10 pada YALE, dan 3,5,7,9,10 pada BERN. Sehingga dapat disimpulkan bahwa metode ekstraksi fitur KPCA yang dikombinasikan dengan metode klasifikasi Mahalanobis Distance cukup baik digunakan sebagai pengenalan wajah.",,,,,
67,"Citra retina telah digunakan secara luas di dalam proses diagnosa gangguan mata, seperti diabetes retinopati dan glukoma. Analisa dan pemrosesan citra retina memiliki peranan yang signifikan di dalam dunia medis. Pada umumnya, citra retina dianalisa secara manual oleh ophthalmologis dalam jangka waktu yang lama dengan sumber daya yang terbatas. Automasi analisa citra retina memberikan kemudahan dan kecepatan analisa dengan tingkat akurasi yang setara dengan hasil analisa secara manual. Penelitian ini menawarkan pengembangan metode deteksi fitur citra retina, yaitu Optic Nerve Head (ONH) atau yang dikenal dengan nama Optic Disc (OD) menggunakan Morfologi Matematis dan Transformasi Hough. Secara garis besar, metode yang digunakan dalam penelitian ini meliputi beberapa tahapan. Tahap pertama adalah perbaikan kontras citra menggunakan metode Local Contrast Enhancement (LCE). Dilanjutkan penentuan area Region of Interest (ROI) dengan mengacu pada channel warna yang dipilih. Penelitian ini memanfaatkan dua channel warna (Red dan Green) dalam proses pendeteksian area OD. Tahapan kedua, proses segmentasi bentuk OD menggunakan rangkaian operasi morfologi matematis (dilasi, erosi, opening, closing, dan rekonstruksi). Bentuk garis tepi OD yang terdeteksi akan divoting menggunakan transformasi Hough dalam proses marking lokasi OD. Metode yang diajukan dalam penelitian ini diujikan pada basis data citra MESSIDOR dengan mengambil sampel citra warna dan citra ground truth 30% dari 1200 citra total. Hasil uji dari penelitian menggunakan morfologi matematis mendapat tingkat akurasi sebesar 93,05% dan nilai akurasi dari kombinasi morfologi matematis serta transformasi Hough sebesar 96,84% ",,,,,
68,"Salah satu komponen penting yang menunjang operasi perusahaan adalah kegiatan memprediksi jumlah penjualan untuk periode selanjutnya. Dengan prediksi yang baik dapat dibuat rencana kerja perusahaan lebih efektif dan efisien. Sehingga dapat meminimalisir terjadinya kelebihan stok barang di gudang yang menyebabkan kerugian bagi perusahaan. Penelitian ini mengidentifikasi pola data penjualan produk STARFOOD di C.V. Wira Usaha Bugar Kecamatan Tragah, Kabupaten Bangkalan. agar mendapatkan metode peramalan yang terbaik berdasarkan pola data penjualan penjualan produk. Oleh karena itu dibutuhkan implementasi yang dapat memprediksi jumlah penjualan tiap minggunya agar perusahaan mendapatkan keuntungan yang maksimal. Dari beberapa hasil tes perhitungan peramalan yang telah dilakukan dapat diambil kesimpulan bahwa proses peramalan penjualan produk STARFOOD menggunakan metodeMoving Average (MA) lebih baik dari pada metode Single Exponential Smoothing (SES), dengan rata-rata bergerak m=12 dan menghasilkan MAPE 12,51% dari semua produk untukstudikasusdi CV. Wira Usaha Bugar Kec. Tragah, Kab. Bangkalan.",,,,,
69,"Wajah merupakan salah satu bagian dari tubuh manusia yang mempunyai karakteristik khusus sehingga sering digunakan untuk membedakan identitas individu yang satu dan yang lainnya. Pengenalan wajah menjadi sangat penting untuk dikembangkan sejak aplikasi ini diterapkan dalam sistem keamanan. Pegenalan jenis kelamin merupakan salah satu bagian dari pengenalan wajah. Tujuan dari penelitian ini adalah membuat implementasi dari sistem pengenalan jenis kelamin pada citra wajah atau Gender Recognition dengan masukan berupa citra wajah yang mampu mengenali jenis kelamin pada citra wajah seseorang secara cepat dan tepat serta berjalan dengan baik. Dalam penelitian ini terdapat 3 tahap utama yaitu preprocessing dengan menggunakan Local Binary Pattern (LBP), ekstraksi fitur dengan Fisherface (PCA - LDA) dan tahap terakhir adalah pengklasifikasian citra menggunakan Euclidean Distance. Dari hasil uji coba sistem dengan menggunakan metode LBP dikombinasikan dengan Fisherface didapat tingkat akurasi rata � rata 62%. Klasifikasi yang salah pada uji sistem disebabkan oleh miripnya bentuk kepala, bentuk rambut dan ekspresi antara kedua citra perempuan dan laki-laki.",,,,,
70,"Dengan berkembangnya jaman semakin berkembang juga teknologi kedokteran. Pendeteksian penyakit yang diderita manusia dapat dideteksi secara dini dengan melakukan peninjauan gejala yang muncul dari penderitanya. Peninjauan gejala dapat dilakukan pada organ-organ tubuh yang mungkin mengalami perubahan struktur karena suatu penyakit contohnya yaitu pada retina mata. Perubahan struktur yang dapat dilihat yaitu perubahan dari pembuluh darah yang semakin membesar atau kelainan dari pembuluh darah dari retina mata. Untuk mendeteksi penyakit tersebut, tahap awal yang dilakukan adalah dengan melakukan segmentasi pada pembuluh darah. Pada penelitian ini menggunakan metode 2D-Gabor Filter untuk mensegmentasi citra. Penelitian ini dibagi menjadi 2 tahap, yaitu preprocessing dan segmentasi. Pada tahap awal preprocessing terdiri dari mengambil citra green channel, dan memperbaiki kontras citra dengan Histogram Equalization. Dan tahap kedua yaitu segmentasi dengan metode 2D-Gabor Filter, thresholding citra, membersihkan citra dari noise, dan field of view. Kemudian hasil dari proses tersebut dibandingkan dengan citra groundtruth untuk menghitung tingkat akurasi.Pengujian dilakukan pada database Digital Retinal Images for Vessel Extraction (DRIVE) sebanyak 20 citra. Hasil Akurasi yang didapat dari pengujian tersebut sebesar 81,11%. Citra hasil dari segmentasi cukup baik, sehingga 2D-Gabor Filter bisa mensegmentasi dengan baik.",,,,,
71,"Sistem pengenalan wajah adalah suatu sistem untuk mengenali identitas diri dari seseorang melalui wajah manusia. Teknologi ini mengidentifikasi bagian tubuh manusia yang unik dan tetap seperti wajah manusia. Hal khusus di bidang identifikasi dan pengenalan wajah manusia memanfaatkan pengolahan dan juga analisis citra wajah, yang akan berperan penting dalam proses pengenalan wajah manusia. Sistem ini dapat di manfaatkan dalam suatu sistem keamanan di bidang biometrika. Pada penelitian ini telah di bangun suatu perangkat lunak pengenalan citra wajah manusia menggunakan metode Two Dimensional Linear Discriminant Analysis (2DLDA) untuk menentukan karakteristik dari wajah manusia. Sedangkan pada tahap pengklasifikasian digunakan metode Angular Separation untuk mengukur kemiripan antara data pelatihan (training) dan data uji coba (testing). Melalui proses testing gambar wajah ini dapat di ketahui identitas diri dari seseorang. Dari uji coba aplikasi menggunakan klasifikasi Angular Separation di peroleh akurasi pengenalan benar sebesar 94.5%, pada lima pose citra wajah pelatihan dan lima pose citra wajah uji coba (testing) dengan jumlah data masing - masing dua ratus citra wajah manusia yang di ambil dari database ORL dengan menggunakan sepuluh eigen.",,,,,
72,"Gender Recognition merupakan sistem untuk mengidentifikasi jenis kelamin seseorang berdasarkan citra wajah, karena di dalam citra wajah terdapat fitur yang merepresentasikan karakteristik seseorang. Gender Recognition dapat digunakan dalam berbagai macam applikasi, seperti interaksi manusia dan komputer, sistem kamera, dan sistem temu kembali citra. Pengklasifikasian jenis kelamin diperoleh dari tiga tahap antara lain preprocessing, ekstraksi fitur, dan pengklasifikasian citra. Tahap pertama, yaitu Preprocessing yang bertujuan untuk menghilangkan variasi pencahayaan pada citra dengan menggunakan metode Local Binary Pattern (LBP). Tahap kedua, ekstraksi fitur menggunakan metode Principal Component Analysis (PCA) sehingga menghasilkan susunan matrik proyeksi dan matrik bobot yang akan digunakan pada tahap klasifikasi. Tahap ketiga, pengklasifikasian citra menggunakan pengukuran kemiripan Euclidean Distance, dengan cara membandingkan matrik bobot citra training dengan matrik bobot testing yang diperoleh dari proses perkalian citra testing dengan matrik proyeksi. Dari hasil uji coba sistem, kombinasi metode Principal Component Analysis (PCA) dan Local Binary Pattern (LBP) dengan menggunakan pengukuran kemiripan Euclidean Distance tingkat akurasi rata-rata mencapai 80%. Klasifikasi jenis kelamin yang salah dikarenakan oleh miripnya bentuk rambut, bentuk kepala serta ekspresi antara citra perempuan dan citra pria.",,,,,
73,"Selama ini prediksi ketepatan kelulusan mahasiswa belum pernah dilakukan di jurusan Teknik Informatika, Universitas Trunojoyo, Madura. Prediksi ketepatan kelulusan mahasiswa perlu dilakukan untuk mengetahui ketepatan kelulusan seorang mahasiswa. Mahasiswa dinyatakan lulus tepat waktu apabila menempuh jenjang pendidikan strata 1 selama 8 semester atau 4 tahun. Salah satu teknik data mining yang dapat digunakan untuk melakukan prediksi adalah dengan menggunakan metode decision tree. Metode ini akan menghasilkan pohon dan rule keputusan yang nantinya akan dijadikan sebagai acuan dalam proses prediksi. Sistem prediksi ini menggunakan algoritma C5.0 yang merupakan salah satu metode decision tree. Data mahasiswa yang terdiri dari 37 atribut dan 1 kelas, dihitung menggunakan rumus information gain untuk menghasilkan pohon dan rule keputusan. Dari uji coba yang telah dilakukan, terbentuk pohon keputusan yang berbeda-beda. Perbedaan ini disebabkan oleh jumlah data training yang digunakan pada setiap partisi data jumlahnya berbeda. Pohon keputusan partisi A menggunakan teknik postpruning dengan jumlah data training lebih besar daripada data testing mempunyai nilai akurasi tertinggi sebesar 90.32 %, sehingga pohon keputusan ini dipilih sebagai acuan dalam proses prediksi. ",,,,,
74,"Segmentasi adalah suatu proses untuk mengekstraksi atau menampilkan objek tertentu pada citra sehingga obyek tersebut terlihat lebih dominan. Pada penelitian Tugas Akhir ini proses segmentasi menggunakan Operasi Morfologi yang diantaranya adalah Morfologi Bottom-Hat, Morfologi Dilasi, dan Morfologi Opening. Dalam penelitian ini ada dua tahapan proses segmentasi pembuluh darah retina pada citra fundus ini, yakni : tahapan Preprocessing dan tahapan Segmentasi. Untuk tahapan Preprocessing sendiri terdapat beberapa proses diantaranya : konversi citra RGB ke Green Channel agar mendapatkan komposisi saturasi yang tepat, perbaikan citra menggunakan Contrast Limited Adaptive Histogram Equalization (CLAHE) yaitu dengan meningkatkan nilai kontras pada citra Green Channel, kemudian ada proses filtering citra menggunakan 2D-Gaussian Filter yang berfungsi untuk memperjelas obyek pada citra. Untuk tahap kedua yaitu segmentasi citra yang terdiri dari beberapa proses diantaranya : Morfologi Bottom-Hat, Thresholding, Binerisasi, Adaptive Median Filter, Dilasi, Opening, dan perhitungan akurasi menggunakan Balanced Accuracy. Dari hasil uji coba yang dilakukan pada 20 citra Digital Retinal Image for Vessel Extraction (DRIVE) diperoleh hasil akhir segmentasi pembuluh darah pada retina dengan akurasi sebesar 85,97%. Operasi Morfologi terbukti dapat menghasilkan citra hasil segmentasi yang cukup baik dengan akurasi yang tinggi.",,,,,
75,"Klasifikasi citra merupakan proses pengelompokan piksel citra ke dalam kelas tertentu yang memiliki batasan yang sama. Setiap kelas memiliki label atau fitur khas yang dapat dijadikan perwakilan dari kelasnya. Klasifikasi penting adanya untuk mempermudah proses pelabelan atau pengelompokan citra. Pada citra sampah, pemberlakuan klasifikasi dilakukan untuk mengetahui tingkat kompleksitas kepadatan sampah. Proses klasifikasi dilakukan dengan menggunakan metode feature learning dari Convolutional Neural Network (CNN) yang dikombinasikan menggunakan nilai fitur tambahan dari Handcrafted Features. Fitur tambahan tersebut berupa nilai structure yang diekstrak dengan menggunakan metode deteksi tepi dengan operator Lapacian dan nilai diversity yang diekstrak dengan menggunakan metode deteksi sudut dengan algoritma FAST (Feature from Accelerated Segment Test). Fitur-fitur tersebut digabungkan pada fully connected layer sehingga didapatkan nilai keluaran berupa hasil klasifikasi dari citra. Penelitian dilakukan dengan menggunakan dataset citra sampah yang diambil dari Google Image sebanyak 3079 data. Dataset dibagi menjadi dua kelompok besar yaitu 80% untuk data training dan 20% untuk data test. Terdapat dua skenario uji coba untuk penelitian yaitu, uji coba pengaruh jumlah dataset dan uji coba pengaruh jumlah fitur. Uji coba pengaruh jumlah dataset menghasilkan rata-rata nilai F1-Score tertinggi sebesar 42.95% untuk dataset asli serta nilai F1-Score tertinggi sebesar 63.21% untuk dataset augmentasi. Uji coba jumlah fitur menghasilkan rata-rata nilai F1-Score tertinggi sebesar 63.21% untuk model 1 dan 62.46% untuk model 2. Terdapat peningkatan akurasi sebesar 1% dari model 1B (Model Kombinasi) terhadap model 1A (Model CNN) dan peningkatan akurasi sebesar 1.5% dari model 2B (Model Kombinasi) terhadap model 2A (Model CNN). Dari hasil uji coba, dapat disimpulkan bahwa semakin banyak jumlah dataset dan semakin banyak jumlah fitur yang digunakan, maka kinerja sistem menjadi semakin baik.",,,,,
76,"Panca indra pada manusia sangat rentan terhadap penyakit terutama pada indra pengelihatan yaitu mata. Beberapa penyakit yang dapat teridentifikasi pada organ mata salah satunya adalah penyakit mata diabetes atau Diabetic Retinopathy (DR). Indikasi penyakit Diabetic Retinopathy (DR) berupa ketidaknormalan mata yang ditandai dengan gangguan kerusakan pembuluh darah kapiler pada jaringan yang berfungsi sebagai sensor cahaya (retina). Pendeteksian yang dilakukan sejak dini dapat memberikan tindakan perawatan yang sesuai. Oleh sebab itu, identifikasi ketidaknormalan pembuluh darah dapat dilakukan dengan cara segmentasi yang merupakan langkah untuk memudahkan penelitian karakteristik pembuluh darah retina dengan penyediaan pemetaan. Pada penelitian Tugas Akhir ini, segmentasi pembuluh darah retina terdiri dari dua tahap, yaitu preprocessing dan segmentasi. Tahap pertama preprocessing citra dilakukan dengan mengambil citra RGB (Red, Green, Blue) ke Green Channel, memperbaiki kontras citra dengan Contrast limited Histogram Equalization (CLAHE), dan untuk menghilangkan noise dengan median filter. Tahap kedua segmentasi citra dilakukan dengan Morphological Skeleton citra, Pruning citra dan dilasi. Selanjutnya dilakukan perhitungan tingkat akurasi dengan Ground Truth-nya. Pengujian menggunakan database DRIVE (Digital Retinal Image for Vessel Extraction) sebanyak 20 citra. Metode Skeleton dan Prunning mampu mensegmentasi dengan baik yang dibuktikan dengan hasil akurasi segmentasi dibandingkan dengan citra Ground Truth sebesar 86,96%. ",,,,,
77,"Identifikasi atribut pejalan kaki merupakan salah satu penelitian yang banyak dikembangkan para peneliti computer vision, karena fungsinya dianggap sangat penting dalam bidang pengawasan visual. Pada penelitian ini akan dibangun model identifikasi atribut pejalan kaki dengan menggunakan metode Adaboost sebagai classifier dan metode feature learning pada CNN sebagai ekstraksi fitur. Terdapat 2 tahap utama yang dilakukan untuk identifikasi atribut, yaitu ektraksi fitur dan identifikasi atau klasifikasi. Pada tahap ekstraksi fitur digunakan CNN yang memiliki kemampuan feature learning. Pada tahap klasifikasi digunakan Adaptive Boosting Classifier (AdaBoost) dengan weak classifier yaitu decision stump. Dataset yang digunakan adalah PETA dan atribut yang di identifikasi berjumlah tujuh atribut dari 61 atribut biner, yaitu laki-laki, rambut panjang, sandal, celana pendek, tidak membawa barang, tas ransel, dan topi. Dataset yang digunakan ada 2 yaitu dataset dengan jumlah data positif dan negatif asli dan dataset dengan jumlah data yang diseimbangkan. Proses uji coba dilakukan dengan membandingkan metode penggabungan feature learning dan adaboost sebagai classifier dengan metode CNN sebagai classifier. Hasil uji coba menggunakan metode CNN sebagai classifier mendapatkan hasil akurasi yang lebih baik dibandingkan dengan metode adaboost sebagai classifier. CNN sebagai classifier mendapatkan hasil akurasi rata-rata 7 atribut sebesar 43,29% untuk dataset asli dan 73,61% untuk dataset seimbang. Sedangkan adaboost sebagai classifier mendapat hasil akurasi rata-rata 7 atribut sebesar 16.31% untuk dataset asli dan 58,79% untuk dataset seimbang.",,,,,
78,"Toko tas Deeolshop menjual berbagai macam tas model kekinian yang dijual secara online maupun offline. Permasalahan muncul ketika semakin banyaknya transaksi penjualan dan semakin banyak macam-macam tas yang dijual . Akibatnya, toko sering mengalami kekurangan stok sehingga tidak dapat memenuhi permintaan pelanggan dan kelebihan stok sehingga terjadi penumpukan barang digudang. Permasalahan ini timbul karena pengelolaan persediaan barang dilakukan secara manual dan tidak memiliki acuan yang pasti tentang jumlah barang yang harus dipesan dan kapan harus melakukan pemesanan barang. Pemesanan baru dilakukan jika stok barang tertentu hampir habis, dengan jumlah yang mengacu pada penggunaan sebelumnya sehingga persediaan barang tidak akurat. Untuk meminimalkan dan mengatasi permalasalahan tersebut perlu adanya sistem peramalan stok barang dengan memprediksi hasil penjualan barang dimasa mendatang berdasarkan data yang telah direkam sebelumnya. Prediksi tersebut sangat berpengaruh pada keputusan untuk menentukan jumlah barang yang akan dijual dibulan yang akan datang. Metode yang digunakan dalam penelitian ini adalah Double Exponential Smoothing karena metode ini tergolong dalam metode time series ( runtut waktu ) yang mempergunakan data masa lalu untuk memprediksi sesuai dimasa yang akan datang. Dari penelitian ini, menghasilkan nilai MAPE terkecil dengan menggunakan alpha 0,4 sebesar 8,83%. Hasil peramalan item Totebag Zara untuk bulan berikutnya sebesar 911 pcs. Dengan adanya sistem ini diharapkan Toko Deeolshop dapat lebih cepat dan efisien dalam menentukan stok barang, sehingga tidak akan terjadi kekurangan stok ataupun penumpukan stok barang",,,,,
79,"Seiring dengan berkembangnya teknologi, teknik biometrika juga semakin berkembang, seperti pengenalan pola iris mata, pengenalan pola senyum, pengenalan ekspresi wajah dan lain sebagainya. Teknik ini digunakan untuk identifikasi wajah manusia, salah satu contohnya yaitu pengenalan jenis kelamin (gender recognition). Sebelum berkembangnya penelitian dalam teknik biometrika, pengenalan identitas seseorang masih menggunakan kartu identitas dan password. Berbagai macam metode sudah banyak digunakan dalam pengenalan jenis kelamin. Pada penelitian ini membandingkan metode Principal Component Analysis (PCA) dan Two-Dimensional Principal Component Analysis (2DPCA). Metode ini adalah metode yang digunakan dalam proses ekstraksi fitur untuk menentukan ciri dari wajah. Untuk proses klasifikasi jenis kelaminnya menggunakan metode Canberra Distance. Uji coba dilakukan pada 200 data yaitu 100 citra wajah laki-laki dan 100 citra wajah perempuan dengan 7 skenario uji coba. Berdasarkan hasil uji coba pada sistem ini menunjukkan bahwa metode Principal Component Analysis (PCA) dapat mengenali jenis kelamin dengan akurasi terbaik yaitu 82.5% pada skenario 6 dengan 15 eigen (160 data training dan 40 data testing) sedangkan metode Two Dimensional Principal Component Analysis (2DPCA) dapat mengenali jenis kelamin dengan akurasi terbaik yaitu 87.5% pada skenario 7 dengan 15 eigen (160 data training dan 40 data testing).",,,,,
80,"Sepak bola adalah salah satu olahraga yang saat ini paling digemari oleh remaja hampir di seluruh belahan dunia sejak abad 21. Dalam sepak bola tak jarang sebuah tim ataupun club sepak bola yang tepat dalam penentuan posisi pemainnya. Pemilihan posisi pemain adalah hal yang sangat rawan bagi sebuah tim sepak bola. Terlebih pemain yang masih junior yang hanya memikirkan kesenangan dalam memilih posisinya, tentu ini sangat merugikan bagi timnya. Maka salah satu cara agar pemilihan dapat efektif dan objektif maka dilakukan dengan teknologi yang telah berkembang yakni pembuatan sistem pendukung keputusan. Tujuan sistem pendukung keputusan ini yaitu membantu tim dalam merekomendasikan seorang pemain sepak bola layak berada di posisinya dengan skill yang dimiliki. Namun sebuah sistem pendukung keputusan juga kurang akurat tanpa adanya sebuah metode yang digunakan dalam sistem tersebut. Untuk itu dalam penelitian ini menggunakan metode profile matching untuk mendukung hasil sistem pendukung keputusan dengan nilai yang layak. Metode ini sangat sesuai digunakan untuk pengambilan keputusan karena perhitungan dilakukan dengan pembobotan dan perhitungan GAP untuk menghasilkan nilai bobot yang lebih untuk calon kandidat. Selain itu konsistensin yang logis dalam penilaian yang digunakan untuk menentukan prioritas sehingga menghasilkan alternative yang tidak banyak. Penelitian ini nantinya akan menghasilkan sebuah rekomendasi posisi pemain yang ada di tim sepak bola Persatuan Sepak Bola Surabaya (PERSEBAYA) usia 14 tahun. Penelitian ini nantinya akan menghasilkan sebuah rekomendasi posisi pemain yang ada di tim sepak bola Persatuan Sepak Bola Surabaya (PERSEBAYA) usia 14 tahun. Berdasarkan data yang ada output yang akan dihasilkan adalah tiga posisi utama yaitu pemain depan, pemain tengah, dan pemain belakang.",,,,,
81,"Diabetes melitus merupakan suatu kondisi dimana tingginya kadar gula dalam darah yang melebihi kisaran normal. Salah satu penyakit hasil dari komplikasi diabetes melitus yaitu diabetic retinopathy. Penyakit ini dapat menyebabkan kerusakan pada retina mata dan beresiko buta secara permanen pada penderitanya. Mendeteksi penyakit ini bisa dilakukan dengan cara melihat informasi pada citra fundus mata. Maka dari itu diperlukan adanya penelitian klasifikasi fase diabetic retinopathy melalui citra fundus mata. Tugas Akhir ini menggunakan metode gray level run length matrix (GLRLM) sebagai metode ekstraksi fiturnya. Terdapat tiga langkah utama dalam proses klasifikasi dalam penelitian ini. Langkah pertama dengan mengubah citra asli menjadi grayscale, kemudian dilakukan masking overlay yaitu mengeliminasi blood vessel pada citra grayscale dengan hasil proses segmentasi. Langkah kedua adalah ekstraksi fitur dengan menggunakan metode GLRLM. Proses terakhir yaitu klasifikasi fase dengan menggunakan metode manhattan. Pengujian akan dilakukan terhadap database MESSIDOR (Methode to evaluate segmentation and indexing techniques in the field of retinal ophtamology) yang telah terklasifikasi. Berdasarkan hasil penelitian dan pengujian terhadap sistem, maka didapatkan tingkat akurasi tertinggi sebesar 66,67%. ",,,,,
82,"Investasi saham selama ini memiliki resiko kerugian yang sangat besar dikarenakan pergerakan harga saham sangat tidak menentu, dalam meminimalkan resiko kerugian diperlukan pengetahuan dalam membaca pergerakan harga saham. Dengan perkembangan teknologi kecerdasan buatan dan pemrosesan perdiksisaat ini, pergerakan harga saham dapat di identifikasi dengan cara otomatis secara perhitungan matematis yang sangat kompleks. Perhitungan ini adalah Deep Learning yang merupakan salah satu teknologi kecerdasan buatan yang memiliki akurasi pengenalan yang tinggi dengan data yang banyak. Penelitihan ini menggunakan teknik Deep learning, Recurrent Neural Networks (RNN) modul pemrosesan Long-Short Term Memory (LSTM) untuk melakukan prediksi harga saham. Fitur yang digunakan dalam pemrosesan prediksi yaitu Data harga penutupan saham (harga closing) PT Semen Indonesia (Persero) Tbk, dari tanggal (09/01/2014) sampai (09/01/2020), sebanyak 1500 data. Dengan adanya gerbang - gerbang didalam metode Neural Network algoritma LSTM ini dapat menyeleksi data yang perlu diingat ataupun dilupakan dalam proses perhitungannya. Berdasarkan hasil prediksi harga saham menghasilkan keakuratan yang sangat bagus dengan 100 proses pelatihan dari 13 proses uji coba dengan berbagai nilai parameter learning rate yang berbeda - beda dan mendapatkan rata-rata akurasi 94,92 %. Dan yang menghasilkan hasil terbaik adalah skenario ke tiga dengan parameter epoch 50, learning rate 0.2 dan menghasilkan MSE 0.51 dan MAPE 0.38%, akurasinya 99.62%",,,,,
83,"Obat merupakan salah satu bagian penting untuk seseorang yang sakit dan yang membutuhkan perawatan. Peningkatan jumlah pasien yang tidak terduga di Rumah Sakit menyebabkan kebutuhan obat yang tidak teratur. Oleh karena itu diperlukan sistem peramalan yang mampu meramalkan pembelian obat pada periode berikutnya. Peramalan ini menggunakan metode Jaringan Syaraf Tiruan dengan algoritma Backpropagation untuk meramalkan jumlah pemesanan periode berikutnya. Data obat dihitung menggunakan ROP atau Re-order Point untuk ditentukan tingkat levelnya, apakah aman atau tidak aman dengan berdasarkan variabel yang mendukung seperti, stok terkini, safety stok dan lead time beserta data transaksi yang ada. Untuk proses perhitungan ROP nya yang mempengaruhi lebih besar atau lebih kecil dari stok obat terkini yaitu safety stok dan lead time. Jika obat tersebut ada pada lebel tidak aman, maka akan dilanjutkan ke proses peramalan. Data yang digunakan adalah data penjualan yang terdiri dari 12 bulan dan masing-masing bulan ada 4 minggu. Dengan MSE sebesar 0,1 dibutuhkan waktu sekitar 64 detik dengan momentum 0,1 learning rate 0,1 dan epoch 5000 dari skenario ujicoba sistem.",,,,,
84,"Pengenalan suara merupakan gagasan teknologi yang bertujuan sehingga komputer bisa mengenali suara manusia. Pengenalan suara untuk huruf alfabet merupakan pengucapan suara yang berasal dari suara manusia dan diproses melalui komputer. Dalam penelitian ini menggunakan metode Cross Correlation yang berfungsi untuk menentukan tingkat hubungan kedekatan antara dua buah sinyal yang berbeda. Cara kerja metode Cross Correlation adalah membandingkan kedua sinyal suara untuk menghasilkan beberapa nilai maksimum dan dari beberapa nilai maksimum diperoleh nilai maksimum terbesar yang dikenali sebagai data sinyal suara ketiga. Metode ini digunakan karena proses perhitungannya mudah untuk dipahami. Sedangkan untuk proses ekstraksi fitur suara menggunakan metode Fast Fourier Transform yang berfungsi untuk mentransformasi sinyal frekuensi. Hasil uji coba dengan menggunakan Cross Correlation menunjukkan bahwa sistem ini kurang efisien apabila menggunakan banyak orang yang dijadikan sampel data suara, hal ini terbukti karena pada pengujian skenario lima setelah data dinormalisasi mendapatkan akurasi 38% dengan sampel data lima orang dua kali pengucapan dan akurasi 89% dengan sampel data satu orang lima kali pengucapan. Sedangkan untuk hasil uji coba menggunakan Fast Fourier Transform didapatkan akurasi 65% pada skenario dua dengan sampel data dua orang lima kali pengucapan dan akurasi 6% pada skenario tiga dengan sampel data tiga orang tiga kali pengucapan.",,,,,
